"Internal Sample Size","External Sample Size","Coefficient Name","Method","True Value","Avg Estimate","Empirical Standard Error","Empirical Relative Efficiency","Analytical Standard Error","Analytical Relative Efficiency","rMSE","Coverage (95% Nominal)","# Tilt Warnings"
100,1600,"Slope","ET-WCLS-Equal",5,4.806,3.196,0.989,2.513,1.246,3.202,0.945,0
100,1600,"Slope","ET-WCLS-Kron",5,4.877,3.322,0.952,2.494,1.256,3.324,0.938,0
100,1600,"Slope","ET-WCLS",5,5.094,2.112,1.497,1.921,1.63,2.114,0.943,0
100,1600,"Slope","DR-WCLS",5,5.132,2.417,1.308,2.228,1.405,2.421,0.948,0
100,1600,"Slope","PET-WCLS",5,4.981,0.841,3.758,0.752,4.165,0.841,0.93,0
100,6400,"Intercept","WCLS-Internal",-2,-1.939,3.14,1,2.861,1,3.141,0.932,0
100,6400,"Intercept","WCLS-Pooled",-2,0.953,0.233,13.471,0.223,12.813,2.962,0,0
100,6400,"Intercept","P-WCLS-Internal",-2,-1.949,3.081,1.019,2.903,0.986,3.082,0.943,0
100,6400,"Intercept","P-WCLS-Pooled",-2,-2.022,0.539,5.828,0.517,5.539,0.539,0.945,0
100,6400,"Intercept","P-WCLS-Pooled-Obs",-2,-2.024,0.535,5.872,0.522,5.486,0.535,0.945,0
100,6400,"Intercept","ET-WCLS-Equal",-2,-2.051,2.342,1.341,1.991,1.437,2.342,0.955,0
100,6400,"Intercept","ET-WCLS-Kron",-2,-2.327,1.927,1.629,1.657,1.727,1.955,0.943,0
100,6400,"Intercept","ET-WCLS",-2,-2.692,1.451,2.164,1.38,2.073,1.607,0.912,0
100,6400,"Intercept","DR-WCLS",-2,-2.745,1.579,1.988,1.575,1.817,1.746,0.927,0
100,6400,"Intercept","PET-WCLS",-2,-2.029,0.518,6.059,0.478,5.983,0.519,0.953,0
100,6400,"Slope","WCLS-Internal",5,4.928,3.296,1,3.089,1,3.297,0.948,0
100,6400,"Slope","WCLS-Pooled",5,2.043,0.193,17.121,0.207,14.941,2.963,0,0
100,6400,"Slope","P-WCLS-Internal",5,4.934,3.272,1.007,3.132,0.986,3.273,0.948,0
100,6400,"Slope","P-WCLS-Pooled",5,5.02,0.501,6.582,0.48,6.44,0.501,0.97,0
100,6400,"Slope","P-WCLS-Pooled-Obs",5,5.021,0.495,6.664,0.484,6.38,0.495,0.973,0
100,6400,"Slope","ET-WCLS-Equal",5,4.916,2.248,1.466,2.012,1.535,2.25,0.965,0
100,6400,"Slope","ET-WCLS-Kron",5,4.922,2.301,1.433,1.893,1.632,2.302,0.975,0
100,6400,"Slope","ET-WCLS",5,5.136,1.623,2.031,1.524,2.027,1.628,0.963,0
100,6400,"Slope","DR-WCLS",5,5.157,1.885,1.748,1.789,1.727,1.892,0.965,0
100,6400,"Slope","PET-WCLS",5,5.01,0.476,6.923,0.437,7.067,0.476,0.945,0
25,100,"Intercept","WCLS-Internal",-2,-2.045,6.029,1,5.833,1,6.029,0.96,0
25,100,"Intercept","WCLS-Pooled",-2,0.331,1.836,3.284,1.773,3.289,2.967,0.767,0
25,100,"Intercept","P-WCLS-Internal",-2,-2.032,5.988,1.007,6.391,0.913,5.988,0.98,0
25,100,"Intercept","P-WCLS-Pooled",-2,-2.175,3.365,1.792,3.01,1.938,3.369,0.953,0
25,100,"Intercept","P-WCLS-Pooled-Obs",-2,-2.16,3.436,1.755,3.182,1.833,3.439,0.973,0
25,100,"Intercept","ET-WCLS-Equal",-2,-2.312,4.474,1.348,3.741,1.559,4.485,0.917,6
25,100,"Intercept","ET-WCLS-Kron",-2,-2.711,4.21,1.432,3.475,1.678,4.27,0.9,6
25,100,"Intercept","ET-WCLS",-2,-2.914,3.473,1.736,2.983,1.955,3.591,0.887,6
25,100,"Intercept","DR-WCLS",-2,-3.045,3.76,1.603,3.382,1.725,3.903,0.915,6
25,100,"Intercept","PET-WCLS",-2,-2.742,2.451,2.46,2.184,2.67,2.561,0.915,6
25,100,"Slope","WCLS-Internal",5,4.585,5.937,1,6.027,1,5.952,0.965,0
25,100,"Slope","WCLS-Pooled",5,2.572,1.816,3.27,1.7,3.546,3.032,0.652,0
25,100,"Slope","P-WCLS-Internal",5,4.555,5.955,0.997,6.626,0.91,5.972,0.98,0
25,100,"Slope","P-WCLS-Pooled",5,5.008,3.053,1.945,2.814,2.142,3.053,0.958,0
25,100,"Slope","P-WCLS-Pooled-Obs",5,4.989,3.041,1.952,3.029,1.99,3.041,0.973,0
25,100,"Slope","ET-WCLS-Equal",5,5.051,4.448,1.335,3.821,1.577,4.449,0.938,6
25,100,"Slope","ET-WCLS-Kron",5,5.195,4.539,1.308,3.744,1.61,4.543,0.938,6
25,100,"Slope","ET-WCLS",5,5.304,3.483,1.705,2.939,2.051,3.496,0.915,6
25,100,"Slope","DR-WCLS",5,5.446,3.827,1.551,3.415,1.765,3.853,0.938,6
25,100,"Slope","PET-WCLS",5,5.367,2.363,2.513,1.954,3.084,2.391,0.905,6
400,100,"Intercept","WCLS-Internal",-2,-1.975,1.414,1,1.419,1,1.414,0.955,0
400,100,"Intercept","WCLS-Pooled",-2,-1.387,1.183,1.195,1.199,1.184,1.332,0.945,0
400,100,"Intercept","P-WCLS-Internal",-2,-1.982,1.425,0.992,1.434,0.989,1.425,0.95,0
400,100,"Intercept","P-WCLS-Pooled",-2,-2.005,1.36,1.039,1.361,1.043,1.36,0.963,0
400,100,"Intercept","P-WCLS-Pooled-Obs",-2,-2.009,1.357,1.041,1.373,1.033,1.357,0.963,0
400,100,"Intercept","ET-WCLS-Equal",-2,-2.386,3.888,0.364,2.765,0.513,3.907,0.882,4
400,100,"Intercept","ET-WCLS-Kron",-2,-2.233,1.512,0.935,1.408,1.008,1.53,0.938,4
400,100,"Intercept","ET-WCLS",-2,-2.261,1.346,1.05,1.285,1.104,1.371,0.932,4
400,100,"Intercept","DR-WCLS",-2,-2.221,1.344,1.052,1.308,1.085,1.362,0.945,4
400,100,"Intercept","PET-WCLS",-2,-2.314,1.248,1.133,1.209,1.173,1.287,0.935,4
400,100,"Slope","WCLS-Internal",5,5.041,1.557,1,1.564,1,1.558,0.968,0
400,100,"Slope","WCLS-Pooled",5,4.43,1.36,1.145,1.31,1.194,1.474,0.94,0
