"Internal Sample Size","External Sample Size","Coefficient Name","Method","True Value","Avg Estimate","Empirical Standard Error","Empirical Relative Efficiency","Analytical Standard Error","Analytical Relative Efficiency","rMSE","Coverage (95% Nominal)","# Tilt Warnings"
400,100,"Intercept","ET-WCLS-Equal",-2,-1.057,3.993,0.1,3.001,0.381,4.103,1,0
400,100,"Intercept","ET-WCLS-Kron",-2,-3.405,0.022,18.251,1.121,1.019,1.405,1,0
400,100,"Intercept","ET-WCLS",-2,-3.316,0.119,3.353,1.095,1.043,1.322,1,0
400,100,"Intercept","DR-WCLS",-2,-3.4,0.214,1.865,1.143,1,1.417,1,0
400,100,"Intercept","PET-WCLS",-2,-3.054,0.065,6.166,1.061,1.077,1.056,1,0
400,100,"Slope","WCLS-Internal",5,6.257,0.261,1,1.291,1,1.284,1,0
400,100,"Slope","WCLS-Pooled",5,5.255,0.398,0.657,1.093,1.181,0.472,1,0
400,100,"Slope","P-WCLS-Internal",5,6.32,0.185,1.411,1.305,0.989,1.332,1,0
400,100,"Slope","P-WCLS-Pooled",5,6.162,0.28,0.932,1.184,1.09,1.195,1,0
400,100,"Slope","P-WCLS-Pooled-Obs",5,6.209,0.269,0.97,1.258,1.026,1.239,1,0
400,100,"Slope","ET-WCLS-Equal",5,7.31,0.495,0.528,2.853,0.452,2.363,1,0
400,100,"Slope","ET-WCLS-Kron",5,6.388,0.326,0.801,1.245,1.037,1.426,1,0
400,100,"Slope","ET-WCLS",5,6.008,0.746,0.351,1.22,1.058,1.254,1,0
400,100,"Slope","DR-WCLS",5,6.135,0.426,0.614,1.26,1.024,1.212,1,0
400,100,"Slope","PET-WCLS",5,6.177,0.375,0.697,1.155,1.117,1.235,1,0
1600,100,"Intercept","WCLS-Internal",-2,-2.808,0.046,1,0.65,1,0.809,1,0
1600,100,"Intercept","WCLS-Pooled",-2,-2.572,0.17,0.272,0.62,1.049,0.597,1,0
1600,100,"Intercept","P-WCLS-Internal",-2,-2.774,0.007,6.916,0.655,0.992,0.774,1,0
1600,100,"Intercept","P-WCLS-Pooled",-2,-2.742,0.166,0.278,0.643,1.012,0.761,1,0
1600,100,"Intercept","P-WCLS-Pooled-Obs",-2,-2.751,0.163,0.283,0.645,1.007,0.769,1,0
1600,100,"Intercept","ET-WCLS-Equal",-2,-0.035,0.222,0.208,2.63,0.247,1.978,1,0
1600,100,"Intercept","ET-WCLS-Kron",-2,-2.605,0.058,0.802,0.649,1.001,0.608,1,0
1600,100,"Intercept","ET-WCLS",-2,-2.831,0.067,0.695,0.641,1.015,0.834,1,0
